"Lemma","LemmaSort","POS","PrincipalParts","ShortDefinition"
"κῶλον","κωλον","noun","κώλου","limb, member; limb, arm; member; side; upright; limb; metrical unit containing fewer than three συζυγίαι; a sling"
"κωλύω","κωλυω","verb","―, κωλυθήσομαι, ―, ―, κωλυθήσομαι","hinder, prevent; from; hinder; prevent; withhold; intercessio; there is"
"κώμη","κωμη","noun","κώμης","unwalled village; quarter, ward"
"κωμόπολις","κωμοπολισ","noun","κωμοπόλεως","village-town"
"κῶμος","κωμοσ","noun","κώμου","revel, carousal, merry-making; band of revellers; the ode sung"
"κώνωψ","κωνωψ","noun","κώνωπος","gnat, mosquito"
"Κώς","κωσ","noun","Κῶ","Cos"
"Κωσάμ","κωσαμ","noun","Κωσάμ","Cosam"
"κωφός","κωφοσ","adj","―, κωφόν","blunt, dull, obtuse; mute, noiseless; dumb; deaf; feebly; vacant, lack-lustre; dull; dull, obtuse; senseless, unmeaning, obscure"
"λαγχάνω","λαγχανω","verb","―, ―, ―, ―, ―","obtain by lot; obtain; obtain leave to bring; become possessed of; draw lots; put in possession of; fall to one's lot"
"Λάζαρος","λαζαροσ","noun","Λαζάρου","Lazarus"
"λάθρᾳ","λαθρα","adv",NA,"secretly, by stealth; unknown to"
"λαῖλαψ","λαιλαψ","noun","λαίλαπος","furious storm, hurricane"
"λακάω","λακαω","verb","―, ―, ―, ―, ―","burst asunder"
"λακτίζω","λακτιζω","verb","―, ―, ―, ―, ―","kick with the heel; kick, struggle"
"λαλέω","λαλεω","verb","λαλήσω, λαληθήσομαι, λελάληκα, λελάλημαι, λαληθήσομαι","talk, chat, prattle; talk, speak; talk of; speak; chatter; sound"
"λαλιά","λαλια","noun","λαλιάς","talk, chat; loquacity; a form of speech, dialect"
"λαμβάνω","λαμβανω","verb","λήμψομαι, ―, εἴληφα, ―, ―","a; take; take hold of, grasp, seize; take by violence, carry off as prize; take, exact; seize; seize, possess; occupy, possess; catch, overtake; catch, find out, detect; bind; take as; taking, keeping; assume; apprehend by the senses; apprehend with the mind, understand; assume, take for granted; take in hand, undertake; take in, hold; took and; receive; have given one, get, receive; receive hospitably; receive in marriage; conceive; receive as produce, profit; admit of; admit, initiate; receive permission to . . ; take hold of, lay hold on; seize and keep hold of, obtain possession of; lay hands upon; take to; find fault with, censure; check"
"Λάμεχ","λαμεχ","noun","Λάμεχ","Lamech"
"λαμπάς","λαμπασ","noun","λαμπάδος","torch; faggot; light; meteor; torch-race; torch-lit"
"λαμπρός","λαμπροσ","adj","λαμπρά, λαμπρόν","bright, radiant; bright; clear, limpid; clear, distinct; vigorous; clear, manifest; well-known, illustrious; magnificent, munificent; bright, joyous; splendid, brilliant; brilliant"
"λαμπρός","λαμπροσ","adv",NA,"bright, radiant; bright; clear, limpid; clear, distinct; vigorous; clear, manifest; well-known, illustrious; magnificent, munificent; bright, joyous; splendid, brilliant; brilliant"
"λαμπρότης","λαμπροτησ","noun","λαμπρότητος","brilliancy, splendour; clearness, distinctness; munificence; brilliancy; magnanimity; Serenity, Serene Highness"
"λάμπω","λαμπω","verb","λάμψω, ―, ―, ―, ―","give light, shine; ring loud and clear; shine forth, be famous; occupy a favourable position; beaming; cause to shine, illumine"
"λανθάνω","λανθανω","verb","―, ―, ―, ―, ―","escape notice; escape; unawares, without being observed; am unseen by; unawares; let it; escapest; make one forget; escaped notice of; let; forget; forget purposely, pass over"
"λαξευτός","λαξευτοσ","adj","―, λαξευτόν","hewn out of the rock"
"Λαοδίκεια","λαοδικεια","noun","Λαοδικείας","Laodicea"
"Λαοδικεύς","λαοδικευσ","noun","Λαοδικέως","Laodicean"
"λαός","λαοσ","noun","λαοῦ","men; people assembled; the; a people"
"λάρυγξ","λαρυγξ","noun","―","larynx"
"Λασαία","λασαια","noun","―","Lasea"
"λατομέω","λατομεω","verb","―, ―, ―, λελατόμημαι, ―","quarry; hew"
"λατρεία","λατρεια","noun","λατρείας","the state of a hired labourer, service; service to"
"λατρεύω","λατρευω","verb","λατρεύσω, ―, ―, ―, ―","work for hire; to be subject; serve"
"λάχανον","λαχανον","noun","λαχάνου","garden-herbs; the vegetable-market"
"λεγιών","λεγιων","noun","λεγιῶνος","legio"
"λέγω","λεγω","verb","ἐρῶ, ῥηθήσομαι, εἴρηκα, εἴρημαι, ῥηθήσομαι","lay; pick up; choose for oneself, pick out; count, tell; count; recount, tell over; say, speak; say; call by name; tell, command; say something; wish to say, mean; use the term; they say; speak; boast of, tell of; recite; maintain; nominate"
"λεῖμμα","λειμμα","noun","―","remnant, residue; interval; intermission; deficiency"
"λεῖος","λειοσ","adj","λεία, ―","smooth; level; smoothskinned, without hair; smooth, soft; rubbed"
"λείπω","λειπω","verb","―, ―, ―, ―, ―","leave, quit; is gone; leave behind, leave at home; leave standing, leave remaining, spare; leave, forsake; failed; lose; to be gone, depart; to be wanting; to be invisible; negative; to be left, left behind; to be subtracted; remain, remain over and above; remain alive; to be left without, to be forsaken of; to be left behind in a race; come short of, be inferior to; to be in need of"
"λειτουργέω","λειτουργεω","verb","―, ―, ―, ―, ―","serve public offices at one's own cost; perform public duties, serve the state; serve; perform religious service, minister"
"λειτουργία","λειτουργια","noun","λειτουργίας","public service; any public service; any service; service, ministration, help"
"λειτουργικός","λειτουργικοσ","adj","―, λειτουργικόν","of"
"λειτουργός","λειτουργοσ","noun","λειτουργοῦ","one who performed a λειτουργία; public servant; private servant; minister; subordinate"
"λέντιον","λεντιον","noun","λεντίου","linteum, cloth, napkin, towel"
"λεπίς","λεπισ","noun","λεπίδος","epithelial debris; scales; flakes; plate; blade"
"λέπρα","λεπρα","noun","λέπρας","leprosy, which makes the skin scaly"
"λεπρός","λεπροσ","adj","―, ―","scaly, scabby, rough; leprous"
"λεπτός","λεπτοσ","adj","―, λεπτόν","peeled, husked; fine, small; thin, fine, delicate; thin, lean; strait, narrow; small, weak, impotent; light, slight; small; thin; consisting of fine parts; subtle, refined; fine, delicate; the poor; small intestine; a very small coin; jar; minutes"
"Λευί","λευι","noun","Λευί","Levi"
"Λευίς","λευισ","noun","―","Levi"
"Λευίτης","λευιτησ","noun","Λευίτου","Levite"
"Λευιτικός","λευιτικοσ","adj","Λευιτική, ―","Levitical"
"λευκαίνω","λευκαινω","verb","―, ―, ―, ―, ―","make white; cause to appear white; have a sensation of whiteness; grow white"
"λευκός","λευκοσ","adj","λευκή, λευκόν","light, bright, clear; clear, distinct; white; white, fair; white-skinned; frantic, passionate; pale; bright, fortunate, happy; lux"
"λέων","λεων","noun","λέοντος","lion; lion's skin; crab; serpent; dance; sea-monster"
"λήθη","ληθη","noun","λήθης","forgetting, forgetfulness; a place of oblivion"
"λῆμψις","λημψισ","noun","λήμψεως","taking hold, seizing, catching; accepting, receiving; taking; attack; assumption; point of view; choice of matter; choice of pitch; determination"
"ληνός","ληνοσ","noun","ληνοῦ","anything shaped like a tub; winevat; trough; kneading-trough; socket into which the mast fitted; coffin; the meeting-point of the sinuses of the dura mater; hollow of a chariot; the lower parts of the nose"
"λῆρος","ληροσ","noun","―","trash, trumpery; delirium; silly; gold ornament"
"λῃστής","ληστησ","noun","λῃστοῦ","robber, pirate"
"λίαν","λιαν","adv",NA,"very, exceedingly; implicitly"
"λίβανος","λιβανοσ","noun","λιβάνου","frankincense-tree, Boswellia Carterii; frankincense"
"λιβανωτός","λιβανωτοσ","noun","λιβανωτοῦ","frankincense; the frankincensemarket"
"Λιβερτῖνος","λιβερτινοσ","noun","Λιβερτίνου","Libertine, Freedman"
"Λιβύη","λιβυη","noun","Λιβύης","the west bank of the Nile"
"λιθάζω","λιθαζω","verb","―, λιθασθήσομαι, ―, ―, λιθασθήσομαι","fling stones; throw like stones; stone"
"λίθινος","λιθινοσ","adj","λιθίνα, λίθινον","made of stone"
"λιθοβολέω","λιθοβολεω","verb","―, λιθοβοληθήσομαι, ―, ―, λιθοβοληθήσομαι","pelt with stones, stone"
"λίθος","λιθοσ","noun","λίθου","stone; some special stone; grave-stone; blocks of stone used for rostra; altar; stones; piece on a draughtboard; stone in the bladder, calculus; Jovem lapidem jurare"
"λιθόστρωτος","λιθοστρωτοσ","adj","―, ―","paved with stones; tessellated work"
"λικμάω","λικμαω","verb","λικμήσω, ―, ―, ―, ―","part the grain from the chaff, winnow"
"λιμήν","λιμην","noun","λιμένος","harbour; haven, retreat, refuge; gathering-place, receptacle; the source of birth, womb"
"λίμνη","λιμνη","noun","λίμνης","pool of standing water; artificial pool; the sea; a quarter of Athens; a quarter; a place in Messenia"
"λιμός","λιμοσ","noun","λιμοῦ","Fr.anon; a hungry wretch"
"λίνον","λινον","noun","λίνου","anything made of flax; cord, fishingline; thread of destiny; fishing-net; linen, linen-cloth; flax; the plant flax, Linum usitatissimum; cotton, Gossypium herbaceum; linaĩ"
"Λίνος","λινοσ","noun","―","the song"
"λιπαρός","λιπαροσ","adj","―, λιπαρόν","oily, shiny with oil; fatty, greasy; shining, sleek; rich, comfortable, easy; bright, brilliant; fat, rich, fruitful"
"λίτρα","λιτρα","noun","λίτρας","a silver coin; a pound; libra"
"λίψ","λιψ","noun","λιβός","the SW. wind; the South; the West; position; stream; libation"
"λογεία","λογεια","noun","λογείας","collection"
"λογίζομαι","λογιζομαι","verb","―, λογισθήσομαι, ―, ―, λογισθήσομαι","count, reckon; reckon; set down to; audit the accounts of; take into account, calculate, consider; reckon, consider that; count; count upon; conclude by reasoning, infer that; has finished reasoning; counted"
"λογικός","λογικοσ","adj","λογική, λογικόν","of; suited for prose; possessed of reason, intellectual; dialectical, argumentative; logic"
"λόγιον","λογιον","noun","λογίου","oracle; sayings; the oracular breastplate"
"λόγιος","λογιοσ","adj","―, ―","of; versed in tales; learned, erudite; skilled in words, eloquent; oracular"
"λογισμός","λογισμοσ","noun","λογισμοῦ","counting, calculation; account, reckoning; calculation, reasoning; reason, argument; reasoning power"
"λογομαχέω","λογομαχεω","verb","―, ―, ―, ―, ―","fight about words"
"λογομαχία","λογομαχια","noun","λογομαχίας","war about words, disputation"
"λόγος","λογοσ","noun","λόγου","computation, reckoning; account; public accounts; account, reckoning; measure, tale; esteem, consideration, value; relation, correspondence, proportion; relation; ratio, proportion; analogy, rule; explanation; plea, pretext, ground; plea, case; statement of a theory, argument; discourse; proposition; rule, principle, law; law, rule; thesis, hypothesis; reason, ground; formula; reason, law; principle; forces; debate; thinking, reasoning; reason; creative reason; continuous statement, narrative; fable; legend; tale, story; speech; verbal expression; talk; expression, phrase; pretence; common talk, report, tradition; rumour; mention, notice, description; story; discussion, debate, deliberation; right of discussion; dialogue; section, division; literature, letters; a particular utterance, saying; divine utterance, oracle; proverb, maxim, saying; assertion; express resolution; word of command, behest; thing spoken of, subject-matter; plot; subject; thing talked of, event; expression, utterance, speech; prose; words; phrase, complex term; sentence, complete statement; language"
"λόγχη","λογχη","noun","λόγχης","spear-head; lance-shaped birth-mark; lance, spear, javelin; troop of spearmen; lot"
"λοιδορέω","λοιδορεω","verb","―, ―, ―, ―, ―","abuse, revile; rail at"
"λοιδορία","λοιδορια","noun","λοιδορίας","railing, abuse, reproach"
"λοίδορος","λοιδοροσ","noun","λοιδόρου","railing, abusive; railer"
"λοιμός","λοιμοσ","adj","―, ―","plague; plague, pest; pestilent"
"λοιμός","λοιμοσ","noun","λοιμοῦ","plague; plague, pest; pestilent"
"λοιπός","λοιποσ","adj","λοιπή, λοιπόν","remaining over; it remains; the future; the rest; then, well then; finally"
"Λουκᾶς","λουκασ","noun","―","Luke"
"Λούκιος","λουκιοσ","noun","―","Lucius"
"λουτρόν","λουτρον","noun","λουτροῦ","bath, bathing-place; water for bathing; libations to the dead"
"λούω","λουω","verb","―, ―, ―, λέλουμαι, ―","l[acaron]vo; purify; bathe; to be washed; wash one's"
"Λύδδα","λυδδα","noun","Λύδδας","Lydda"
"Λυδία","λυδια","noun","Λυδίας","a history of Lydia"
"Λυκαονία","λυκαονια","noun","Λυκαονίας","in Lycaonian"
"Λυκαονιστί","λυκαονιστι","adv",NA,"in the Lycaonian language"
"Λυκία","λυκια","noun","Λυκίας","from Lycia"
"λύκος","λυκοσ","noun","λύκου","wolf; daw; a fish; spider; anything shaped like a hook; a jagged bit; hook; flesh-hook; the flower of the iris; noose; a pastille used in dysentery; vŕ[null  ]kas"
"λυμαίνομαι","λυμαινομαι","verb","―, ―, ―, ―, ―","cleanse from dirt; outrage, maltreat; inflict indignities; cause ruin; treat; inflict"
"λυπέω","λυπεω","verb","―, λυπηθήσομαι, λελύπηκα, ―, λυπηθήσομαι","grieve, vex; cause pain; harass, annoy; to be grieved, distressed"
"λύπη","λυπη","noun","λύπης","pain of body; pain of mind, grief"
"Λυσανίας","λυσανιασ","noun","Λυσανίου","Lysanius"
"Λυσίας","λυσιασ","noun","―","Lysias"
"λύσις","λυσισ","noun","λύσεως","loosing, releasing, ransoming; means of letting; deliverance from guilt; redemption; release, discharge; loosing, parting; emptying, evacuation; remission; solution; refutation; unravelling; softening; resolution of one vowel into two; looseness; resolution; divorce; place"
"λυσιτελέω","λυσιτελεω","verb","―, ―, ―, ―, ―","indemnify for expenses incurred; it profits; conspire; profit, gain, advantage"
"Λύστρα","λυστρα","noun","Λύστρας","Lystra"
"λύτρον","λυτρον","noun","λύτρου","price of release; ransom; sum paid for redemption of a pledge; atonement; recompense"
"λυτρόω","λυτροω","verb","―, λυτρωθήσομαι, ―, ―, λυτρωθήσομαι","release on receipt of a ransom, hold to ransom; to be released; rp"
"λύτρωσις","λυτρωσισ","noun","λυτρώσεως","ransoming; release, discharge; spring"
"λυτρωτής","λυτρωτησ","noun","λυτρωτοῦ","ransomer, redeemer"
"λυχνία","λυχνια","noun","λυχνίας","lampstand"
"λύχνος","λυχνοσ","noun","λύχνου","sno; the lamp-market; lucerna"
"λύω","λυω","verb","―, λυθήσομαι, ―, λέλυμαι, λυθήσομαι","luo; unbind, unfasten; open; unyoke, unharness; release, deliver; release on receipt of ransom, admit to ransom, release; legibus solvi; give up; resolve a whole into its parts, dissolve, break up; have rotted; loosen; closes; undo, bring to naught, destroy; repeal; solve; refute; unravel; pass out of; break; dissolve; Acut.(Sp.); resolve; solve, fulfil, accomplish; atone for, make up for; pay; pay, profit. avail"
"Λωΐς","λωισ","noun","Λωΐδος","Lois"
"Λώτ","λωτ","noun","Λώτ","Lot"
"Μάαθ","μααθ","noun","Μάαθ","Maath"
"Μαγαδάν","μαγαδαν","noun","Μαγαδάν","Magadan"
"Μαγδαληνή","μαγδαληνη","noun","Μαγδαληνῆς","Magdalene"
"μαγεία","μαγεια","noun","μαγείας","theology of the Magians; magic"
"μαγεύω","μαγευω","verb","―, ―, ―, ―, ―","to be a Magus; use magic arts; bewitch; call forth by magic arts"
"μάγος","μαγοσ","noun","μάγου","one of the priests and wise men in Persia; enchanter, wizard; magical"
"Μαγώγ","μαγωγ","noun","Μαγώγ","Magog"
"Μαδιάμ","μαδιαμ","noun","Μαδιάμ","Midian"
"μαθητεύω","μαθητευω","verb","―, μαθητευθήσομαι, ―, ―, μαθητευθήσομαι","to be pupil; make a disciple of, instruct"
"μαθητής","μαθητησ","noun","μαθητοῦ","learner, pupil"
"μαθήτρια","μαθητρια","noun","―","female disciple"
"Μαθθαῖος","μαθθαιοσ","noun","Μαθθαίου","Matthew"
"Μαθθάτ","μαθθατ","noun","Μαθθάτ","Matthat"
"Μαθθίας","μαθθιασ","noun","Μαθθίου","Matthias"
"Μαθουσαλά","μαθουσαλα","noun","Μαθουσαλά","Methuselah"
"μαίνομαι","μαινομαι","verb","―, ―, ―, ―, ―","rage, be furious; rage, riot; malignant; madden"
"μακαρίζω","μακαριζω","verb","μακαριῶ, ―, ―, ―, ―","bless, deem"
"μακάριος","μακαριοσ","adj","μακαριωτέρα, μακάριόν","blessed, happy; prosperous; bliss"
"μακαρισμός","μακαρισμοσ","noun","μακαρισμοῦ","pronouncing happy, blessing"
"Μακεδονία","μακεδονια","noun","Μακεδονίας","Macedonia"
"Μακεδών","μακεδων","noun","Μακεδόνος","Macedonian"
"μάκελλον","μακελλον","noun","μακέλλου","enclosure; macellum, market"
"μακρόθεν","μακροθεν","adv",NA,"from afar"
"μακροθυμέω","μακροθυμεω","verb","―, ―, ―, ―, ―","to be long-suffering; to be slow; persevere; bear patiently"
"μακροθυμία","μακροθυμια","noun","μακροθυμίας","long-suffering, patience; forbearance"
"μακρόθυμος","μακροθυμοσ","adv",NA,"long-suffering, patient"
"μακρός","μακροσ","adj","μακρά, μακρόν","long; tall, high; deep; long, far, remote; large in size; by far; long, tedious; a long time, long delayed; long time; far, a long way; at great length"
"μακροχρόνιος","μακροχρονιοσ","adj","―, ―","lasting a long time, lingering; dwelling a long time; long-lived"
"μάλα","μαλα","adv",NA,"very, exceedingly; very; quite; carefully; or never; ever so much; yes, certainly; more, rather; more; much more; the more; a fortiori; most of all, above all; certainly; in the highest degree; especially, as much as any; in round numbers, about; most certainly"
"μαλακία","μαλακια","noun","μαλακίας","softness; weakliness, sickness; calmness of the sea, malacia ac tranquillitas"
"μαλακός","μαλακοσ","adj","―, μαλακόν","soft; fresh-ploughed; household utensils; gentle; light, mild; soft, mild, gentle; faint-hearted, cowardly; morally weak, lacking in self-control; soft, effeminate; feeble; weak, loose; weakly, sickly"
"Μαλελεήλ","μαλελεηλ","noun","Μαλελεήλ","Mahalelel"
"Μάλχος","μαλχοσ","noun","―","Malchus"
"μάμμη","μαμμη","noun","μάμμης","mother; mother's breast; grandmother"
"μαμωνᾶς","μαμωνασ","noun","μαμωνᾶ","wealth"
"Μαναήν","μαναην","noun","―","Manaen"
"Μανασσῆς","μανασσησ","noun","Μανασσῆ","Manasseh"
"μανθάνω","μανθανω","verb","―, ―, μεμάθηκα, ―, ―","learn; acquire a habit of; perceive, remark, notice; know that; understand; under what persuasion, with what idea"
"μανία","μανια","noun","μανίας","madness; enthusiasm, inspired frenzy; passion"
"μάννα","μαννα","noun","μάννα","powder; mān, manna"
"μαντεύομαι","μαντευομαι","verb","―, ―, ―, ―, ―","divine, prophesy; presage, forebode, surmise; get scent of; consult an oracle, seek divinations; give an oracle; an oracle was given"
"μαραίνω","μαραινω","verb","―, μαρανθήσομαι, ―, ―, μαρανθήσομαι","quench"
"μαργαρίτης","μαργαριτησ","noun","μαργαρίτου","pearl"
"Μάρθα","μαρθα","noun","Μάρθας","Martha"
"Μαρία","μαρια","noun","Μαρίας","Mary"
"Μαριάμ","μαριαμ","noun","Μαριάμ","Mary"
"Μᾶρκος","μαρκοσ","noun","Μάρκου","Mark"
"μάρμαρος","μαρμαροσ","noun","μαρμάρου","crystalline rock; marble; work in marble; chips made by cutting marble"
"μαρτυρέω","μαρτυρεω","verb","μαρτυρήσω, μαρτυρηθήσομαι, μεμαρτύρηκα, μεμαρτύρημαι, μαρτυρηθήσομαι","bear witness, give evidence; bear witness to; testify to; testify that; testify to, acknowledge the value of; give; testimony is borne; is ascribed; to be in aspect with"
"μαρτυρία","μαρτυρια","noun","μαρτυρίας","testimony; aspect"
"μαρτύριον","μαρτυριον","noun","μαρτυρίου","testimony, proof; the tables of the Decalogue; shrine of a martyr"
"μαρτύρομαι","μαρτυρομαι","verb","―, ―, ―, ―, ―","call to witness, invoke; call; protest, asseverate; cite"
"μάρτυς","μαρτυσ","noun","μάρτυρός","witness; martyr; in aspect"
"μασάομαι","μασαομαι","verb","―, ―, ―, ―, ―","chew; shoot out the lip"
"μαστιγόω","μαστιγοω","verb","μαστιγώσω, ―, ―, ―, ―","whip, flog"
"μαστίζω","μαστιζω","verb","―, ―, ―, ―, ―","whip, flog; stimulate"
"μάστιξ","μαστιξ","noun","μάστιγος","whip, scourge; scourge, plague"
"μαστός","μαστοσ","noun","μαστοῦ","b; a woman's breast; udder; breasts; any round, breast-shaped object; round hill, knoll; round piece of wool; breast-shaped cup"
"ματαιολογία","ματαιολογια","noun","ματαιολογίας","idle talk"
"ματαιολόγος","ματαιολογοσ","adj","―, ―","talking at random"
"μάταιος","ματαιοσ","adj","ματαία, μάταιον","vain, empty, idle; idle; empty, foolish; rash, irreverent, profane; idly, without ground"
"ματαιότης","ματαιοτησ","noun","ματαιότητος","vanity, purposelessness"
"ματαιόω","ματαιοω","verb","―, ματαιωθήσομαι, ―, ―, ματαιωθήσομαι","bring to naught; invent; to be brought to naught; become foolish, act foolishly"
"μάτην","ματην","adv",NA,"in vain; at random, without reason; idly, falsely"
"Ματθάν","ματθαν","noun","Ματθάν","Matthan"
"Ματταθά","ματταθα","noun","Ματταθά","Mattatha"
"Ματταθίας","ματταθιασ","noun","Ματταθίου","Mattathias"
"μάχαιρα","μαχαιρα","noun","μαχαίρης","large knife; short sword, dagger; shears"
"μάχη","μαχη","noun","μάχης","battle, combat; contest; struggle; mode of fighting, way of battle; field of battle; contradiction, inconsistency"
"μάχομαι","μαχομαι","verb","―, ―, ―, ―, ―","fight; fight against; quarrel, wrangle; contend for the mastery; struggle against; struggle, make an effort; to be in contradiction"
"μεγαλεῖος","μεγαλειοσ","adj","―, μεγαλεῖον","magnificent, splendid; stately, haughty; Highness; elevated"
"μεγαλειότης","μεγαλειοτησ","noun","μεγαλειότητος","majesty, magnificence; majestas"
"μεγαλοπρεπής","μεγαλοπρεπησ","adj","μεγαλοπρεπής, ―","befitting a great man, magnificent; a"
"μεγαλύνω","μεγαλυνω","verb","―, μεγαλυνθήσομαι, ―, ―, μεγαλυνθήσομαι","make great; make great by word, extol, magnify; magnify, exaggerate"
"μεγαλωσύνη","μεγαλωσυνη","noun","μεγαλωσύνης","greatness, majesty"
"μέγας","μεγασ","adj","μείζων, μέγα","big; full-grown; vast, high; great, mighty; strong; great, loud; over-great; impressive; long; greatly, mightily; very much, exceedingly; far; by far; elder; majmán"
"μέγας","μεγασ","adv",NA,"big; full-grown; vast, high; great, mighty; strong; great, loud; over-great; impressive; long; greatly, mightily; very much, exceedingly; far; by far; elder; majmán"
"μέγεθος","μεγεθοσ","noun","―","greatness, magnitude; stature; in stature; might, power; greatness, magnanimity; loftiness, sublimity; magnitude; metrical length; lengths; Highness"
"μεγιστάν","μεγισταν","noun","μεγιστᾶνος","great man, grandee"
"μεθερμηνεύω","μεθερμηνευω","verb","―, ―, ―, ―, ―","translate"
"μέθη","μεθη","noun","μέθης","strong drink; drunkenness"
"μεθίστημι","μεθιστημι","verb","―, μετασταθήσομαι, ―, ―, μετασταθήσομαι","place in another way, change; changes; set free; remove by killing; remove from one place to another; stand among; change one's position; change, cease from; go over to; to be banished; change, alter; change position"
"μεθοδεία","μεθοδεια","noun","μεθοδείας","craft, wiliness; method of collecting taxes"
"μεθύσκω","μεθυσκω","verb","―, ―, ―, ―, ―","make drunk, intoxicate; give to drink; drink freely, get drunk; to be filled"
"μέθυσος","μεθυσοσ","noun","μεθύσου","drunk with wine; drunken, intemperate"
"μεθύω","μεθυω","verb","―, μεθυσθήσομαι, ―, ―, μεθυσθήσομαι","to be drunken with wine; to be drenched, steeped; to be intoxicated; to be stupefied, stunned"
"μέλαν","μελαν","noun","μέλανος","ink; indigo; iris; cornea"
"μέλας","μελασ","adj","μελαίνα, ―","black, dark; dark, murky; indistinct; dark, obscure, enigmatical; dark, malignant; blacker, very black; melaena; málam"
"Μελεά","μελεα","noun","Μελεά","Melea"
"μελετάω","μελεταω","verb","―, ―, ―, ―, ―","take thought; attend to, study; pursue, exercise; practises; study, train oneself; practise oratory, declaim; threaten; exercise, train; to be accustomed; acquire a habit"
"μέλι","μελι","noun","μέλιτος","honey; sweet gum"
"Μελίτη","μελιτη","noun","―","Melita"
"μέλλω","μελλω","verb","μελλήσω, ―, ―, ―, ―","to be destined; is to; shouldn't; to be about to; to be always going to do; future; might"
"μέλος","μελοσ","noun","μέλους","limb; features, form; musical member, phrase; lyric portion; music to which a song is set, tune; melody"
"Μελχί","μελχι","noun","Μελχί","Melchi"
"Μελχισέδεκ","μελχισεδεκ","noun","Μελχισέδεκ","Melchizedek"
"μέλω","μελω","verb","―, ―, ―, ―, ―","to be an object of care; am I in; there is care; care; they took; Fr.anon; care for, take an interest in; thou hastinvented; care for, take care of"
"μεμβράνα","μεμβρανα","noun","μεμβράνας","membrāna, parchment"
"μέμφομαι","μεμφομαι","verb","―, ―, ―, ―, ―","blame, censure; impute as blameworthy, cast in one's teeth; to be dissatisfied with, find fault with; complain of; object; find fault, complain"
"μεμψίμοιρος","μεμψιμοιροσ","adj","―, ―","faultfinding, criticizing, querulous"
"μέν","μεν","conj",NA,"indeed, of a truth; but; I take it; on the one hand, on the other hand; one; at all events, at any rate; so then; yet, nevertheless; of course; well, if it comes to that"
"μέν","μεν","ptcl",NA,"indeed, of a truth; but; I take it; on the one hand, on the other hand; one; at all events, at any rate; so then; yet, nevertheless; of course; well, if it comes to that"
"Μεννά","μεννα","noun","Μεννά","Menna"
"μενοῦν","μενουν","ptcl",NA,"rather; indeed"
"μενοῦνγε","μενουνγε","ptcl",NA,"rather; indeed"
"μέντοι","μεντοι","conj",NA,"but, nevertheless, however"
"μένω","μενω","verb","μενῶ, ―, μεμένηκα, ―, ―","stay, wait; stand fast; stay at home, stay where one is; lodge, stay; stay away, be absent; stay, tarry; to be lasting, remain, stand; remain; remain as one was; abide; it remains; await, expect; wait for"
"μερίζω","μεριζω","verb","―, μερισθήσομαι, ―, μεμέρισμαι, μερισθήσομαι","divide, distribute; assign a part, allot; sever, cut off; apply by turns; divide among themselves; get a portion of; take part in; to be divided; to be dispersed; to be reckoned as part"
"μέριμνα","μεριμνα","noun","μερίμνας","care, thought, solicitude; object of care; pursuit, ambition; fancy; anxious mind"
"μεριμνάω","μεριμναω","verb","μεριμνήσω, ―, ―, ―, ―","care for, be anxious about, meditate upon"
"μερίς","μερισ","noun","μερίδος","part, portion; contribution, quota; plot; region, district; province; division, class; lot!"
"μερισμός","μερισμοσ","noun","μερισμοῦ","dividing, division; partition; share of taxation, assessment; role, part assigned; division of subjects, arrangement; the art of dividing; assignment; definition; classification; analysis; division into feet, scansion; quotient"
"μεριστής","μεριστησ","noun","μεριστοῦ","divider, distributor"
"μέρος","μεροσ","noun","μέρους","share, portion; heritage, lot, destiny; one's turn; in turn, successively; the part one takes in; my; part; in part; in the class of; district; by way of species"
"μεσημβρία","μεσημβρια","noun","μεσημβρίας","midday; the South"
"μεσιτεύω","μεσιτευω","verb","―, ―, ―, ―, ―","act as arbiter; mediate, negotiate; pledge, mortgage; Pap.Berl. Mus; add as a third constituent; lies on deposit with a stakeholder; lie between"
"μεσίτης","μεσιτησ","noun","μεσίτου","mediator, umpire, arbitrator; in a middle position"
"μεσονύκτιον","μεσονυκτιον","noun","μεσονυκτίου","of"
"Μεσοποταμία","μεσοποταμια","noun","Μεσοποταμίας","Mesopotamia"
"μέσος","μεσοσ","adj","μέση, μέσον","b; middle; by the middle, by the waist; midway between; mid; impartial; inter-mediate; mediae; middling, moderate; of middle height; of middle rank; midst, intervening space; in the midst; deposited; away; between; difference; middle state, mean; the middle term; ecliptic; ordinary; in the middle; in a moderate degree; in the middle voice; mádhyas"
"μεσότοιχον","μεσοτοιχον","noun","μεσοτοίχου","dividing wall"
"μεσουράνημα","μεσουρανημα","noun","μεσουρανήματος","culmination; mid-heaven, zenith"
"μεσόω","μεσοω","verb","―, ―, ―, ―, ―","to be in; to be in the middle of"
"Μεσσίας","μεσσιασ","noun","Μεσσίου","Messiah"
"μεστός","μεστοσ","adj","μεστή, μεστόν","full; full of; sated with"
"μεστόω","μεστοω","verb","―, ―, ―, μεμέστωμαι, ―","fill full of"
"μετά","μετα","prep",NA,"mip; in the midst of, among, between; in common, along with, by aid of; in one's dealings with; during; between, among; among, in company with; between; besides, over and above; into the middle of, coming into; in pursuit; after, behind; after, next to; next after; after, according to; among, between; among them, with them; and then, next afterwards; thereafter; of community; in common with; in the midst of; succession; pursuit; letting go; reversely; change"
